name, rank, year, company, wealth
Видеокарты, 1, 2 квартал 2023, Microsoft, 18.5
Видеокарты, 1, 3 квартал 2023, Microsoft, 58.7
Видеокарты, 1, 4 квартал 2023, Microsoft, 76.0
Видеокарты, 1, 1 квартал 2024, Microsoft, 50.0
Процессоры, 2, 2 квартал 2023, Berkshire, 15.0
Процессоры, 2, 3 квартал 2023, Berkshire, 32.3
Процессоры, 2, 4 квартал 2023, Berkshire, 58.0
Процессоры, 2, 1 квартал 2024, Berkshire, 38.0
Оперативная память, 3, 2 квартал 2023, Telmex, 1.0
Оперативная память, 2, 3 квартал 2023, Telmex, 12.0
Оперативная память, 2, 4 квартал 2023, Telmex, 72.0
Оперативная память, 2, 1 квартал 2024, Telmex, 62.0
Сервера, 4, 2 квартал 2023, Hoffmann La Roshe, 13.1
Сервера, 4, 3 квартал 2023, Hoffmann La Roshe, 10.1
Сервера, 4, 4 квартал 2023, Hoffmann La Roshe, 9.1
Сервера, 4, 1 квартал 2024, Hoffmann La Roshe, 5.1
Софт, 3, 2 квартал 2023, Microsoft, 30.4
Софт, 5, 3 квартал 2023, Microsoft, 12.4
Софт, 5, 4 квартал 2023, Microsoft, 5.4
Софт, 5, 1 квартал 2024, Microsoft, 3.4

